"PASSENGERS","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","YEAR","MONTH",
447.00,618.00,"9E",20363,"Endeavor Air Inc.",12953,1295302,31703,"LGA","New York, NY","NY",11986,1198603,31986,"GRR","Grand Rapids, MI","MI",2017,6,
448.00,479.00,"EV",20366,"ExpressJet Airlines Inc.",12953,1295302,31703,"LGA","New York, NY","NY",11066,1106603,31066,"CMH","Columbus, OH","OH",2017,4,
450.00,1416.00,"YV",20378,"Mesa Airlines Inc.",12266,1226603,31453,"IAH","Houston, TX","TX",12953,1295302,31703,"LGA","New York, NY","NY",2017,1,
450.00,500.00,"YX",20452,"Republic Airlines",12953,1295302,31703,"LGA","New York, NY","NY",12323,1232303,32323,"ILM","Wilmington, NC","NC",2017,1,
451.00,783.00,"9E",20363,"Endeavor Air Inc.",13487,1348702,31650,"MSP","Minneapolis, MN","MN",14576,1457604,34576,"ROC","Rochester, NY","NY",2017,3,
451.00,780.00,"9E",20363,"Endeavor Air Inc.",12197,1219702,31703,"HPN","White Plains, NY","NY",10397,1039705,30397,"ATL","Atlanta, GA","GA",2017,3,
452.00,479.00,"OH",20397,"PSA Airlines Inc.",11066,1106603,31066,"CMH","Columbus, OH","OH",12953,1295302,31703,"LGA","New York, NY","NY",2017,1,
452.00,213.00,"9K",20253,"Cape Air",14875,1487502,34875,"SLK","Saranac Lake/Lake Placid, NY","NY",10721,1072102,30721,"BOS","Boston, MA","MA",2017,6,
452.00,722.00,"EV",20366,"ExpressJet Airlines Inc.",14685,1468502,34685,"SAV","Savannah, GA","GA",12953,1295302,31703,"LGA","New York, NY","NY",2017,3,
454.00,201.00,"KS",20225,"Peninsula Airways Inc.",10721,1072102,30721,"BOS","Boston, MA","MA",14025,1402501,34025,"PBG","Plattsburgh, NY","NY",2017,2,
457.00,305.00,"9E",20363,"Endeavor Air Inc.",10990,1099003,30990,"CHO","Charlottesville, VA","VA",12953,1295302,31703,"LGA","New York, NY","NY",2017,3,
457.00,229.00,"AX",20237,"Trans States Airlines",12264,1226402,30852,"IAD","Washington, DC","VA",12953,1295302,31703,"LGA","New York, NY","NY",2017,6,
458.00,735.00,"9E",20363,"Endeavor Air Inc.",10792,1079204,30792,"BUF","Buffalo, NY","NY",13487,1348702,31650,"MSP","Minneapolis, MN","MN",2017,2,
458.00,500.00,"YX",20452,"Republic Airlines",12953,1295302,31703,"LGA","New York, NY","NY",12323,1232303,32323,"ILM","Wilmington, NC","NC",2017,4,
459.00,1147.00,"EV",20366,"ExpressJet Airlines Inc.",12953,1295302,31703,"LGA","New York, NY","NY",15919,1591902,31834,"XNA","Fayetteville, AR","AR",2017,2,
