"PASSENGERS","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","YEAR","MONTH",
4200.00,2422.00,"B6",20409,"JetBlue Airways",14747,1474703,30559,"SEA","Seattle, WA","WA",12478,1247803,31703,"JFK","New York, NY","NY",2016,12,
4201.00,1428.00,"B6",20409,"JetBlue Airways",12478,1247803,31703,"JFK","New York, NY","NY",12191,1219102,31453,"HOU","Houston, TX","TX",2016,7,
4202.00,1623.00,"DL",19790,"Delta Air Lines Inc.",12478,1247803,31703,"JFK","New York, NY","NY",15024,1502403,34945,"STT","Charlotte Amalie, VI","VI",2016,3,
4202.00,833.00,"9E",20363,"Endeavor Air Inc.",12451,1245102,31136,"JAX","Jacksonville, FL","FL",12953,1295302,31703,"LGA","New York, NY","NY",2016,4,
4202.00,2569.00,"B6",20409,"JetBlue Airways",12478,1247803,31703,"JFK","New York, NY","NY",14831,1483104,32457,"SJC","San Jose, CA","CA",2016,10,
4203.00,1428.00,"B6",20409,"JetBlue Airways",12478,1247803,31703,"JFK","New York, NY","NY",12191,1219102,31453,"HOU","Houston, TX","TX",2016,3,
4204.00,660.00,"S5",20448,"Shuttle America Corp.",12339,1233904,32337,"IND","Indianapolis, IN","IN",12953,1295302,31703,"LGA","New York, NY","NY",2016,7,
4204.00,888.00,"G7",20500,"GoJet Airlines LLC d/b/a United Express",15016,1501603,31123,"STL","St. Louis, MO","MO",12953,1295302,31703,"LGA","New York, NY","NY",2016,11,
4205.00,607.00,"MQ",20398,"Envoy Air",15096,1509602,35096,"SYR","Syracuse, NY","NY",13930,1393004,30977,"ORD","Chicago, IL","IL",2016,2,
4206.00,269.00,"9E",20363,"Endeavor Air Inc.",12953,1295302,31703,"LGA","New York, NY","NY",14321,1432103,34321,"PWM","Portland, ME","ME",2016,6,
4206.00,425.00,"9E",20363,"Endeavor Air Inc.",12478,1247803,31703,"JFK","New York, NY","NY",11042,1104203,30647,"CLE","Cleveland, OH","OH",2016,11,
4207.00,1047.00,"B6",20409,"JetBlue Airways",12953,1295302,31703,"LGA","New York, NY","NY",14986,1498603,34986,"SRQ","Sarasota/Bradenton, FL","FL",2016,7,
4208.00,479.00,"YX",20452,"Republic Airlines",11066,1106603,31066,"CMH","Columbus, OH","OH",12953,1295302,31703,"LGA","New York, NY","NY",2016,4,
4208.00,1521.00,"DL",19790,"Delta Air Lines Inc.",10423,1042302,30423,"AUS","Austin, TX","TX",12478,1247803,31703,"JFK","New York, NY","NY",2016,1,
4209.00,2576.00,"B6",20409,"JetBlue Airways",12478,1247803,31703,"JFK","New York, NY","NY",13796,1379604,32457,"OAK","Oakland, CA","CA",2016,7,
4210.00,735.00,"DL",19790,"Delta Air Lines Inc.",13487,1348702,31650,"MSP","Minneapolis, MN","MN",10792,1079204,30792,"BUF","Buffalo, NY","NY",2016,7,
4212.00,340.00,"9E",20363,"Endeavor Air Inc.",12478,1247803,31703,"JFK","New York, NY","NY",14122,1412202,30198,"PIT","Pittsburgh, PA","PA",2016,12,
4214.00,1034.00,"WN",19393,"Southwest Airlines Co.",12391,1239102,31703,"ISP","Islip, NY","NY",15304,1530402,33195,"TPA","Tampa, FL","FL",2016,1,
4214.00,1047.00,"B6",20409,"JetBlue Airways",14986,1498603,34986,"SRQ","Sarasota/Bradenton, FL","FL",12953,1295302,31703,"LGA","New York, NY","NY",2016,5,
4215.00,738.00,"WN",19393,"Southwest Airlines Co.",13342,1334205,33342,"MKE","Milwaukee, WI","WI",12953,1295302,31703,"LGA","New York, NY","NY",2016,2,
4215.00,1079.00,"WN",19393,"Southwest Airlines Co.",14576,1457604,34576,"ROC","Rochester, NY","NY",15304,1530402,33195,"TPA","Tampa, FL","FL",2016,1,
4217.00,1204.00,"WN",19393,"Southwest Airlines Co.",10257,1025702,30257,"ALB","Albany, NY","NY",11697,1169704,32467,"FLL","Fort Lauderdale, FL","FL",2016,12,
4218.00,431.00,"YX",20452,"Republic Airlines",14492,1449202,34492,"RDU","Raleigh/Durham, NC","NC",12953,1295302,31703,"LGA","New York, NY","NY",2016,7,
4218.00,143.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",10257,1025702,30257,"ALB","Albany, NY","NY",11618,1161802,31703,"EWR","Newark, NJ","NJ",2016,12,
4221.00,1912.00,"WN",19393,"Southwest Airlines Co.",10792,1079204,30792,"BUF","Buffalo, NY","NY",14107,1410702,30466,"PHX","Phoenix, AZ","AZ",2016,2,
4222.00,431.00,"YX",20452,"Republic Airlines",14492,1449202,34492,"RDU","Raleigh/Durham, NC","NC",12953,1295302,31703,"LGA","New York, NY","NY",2016,3,
4225.00,292.00,"9E",20363,"Endeavor Air Inc.",12953,1295302,31703,"LGA","New York, NY","NY",10792,1079204,30792,"BUF","Buffalo, NY","NY",2016,11,
4226.00,2569.00,"B6",20409,"JetBlue Airways",14831,1483104,32457,"SJC","San Jose, CA","CA",12478,1247803,31703,"JFK","New York, NY","NY",2016,8,
4229.00,1080.00,"B6",20409,"JetBlue Airways",14635,1463502,31714,"RSW","Fort Myers, FL","FL",12953,1295302,31703,"LGA","New York, NY","NY",2016,3,
4229.00,2446.00,"AA",19805,"American Airlines Inc.",14679,1467903,33570,"SAN","San Diego, CA","CA",12478,1247803,31703,"JFK","New York, NY","NY",2016,5,
4230.00,2446.00,"AA",19805,"American Airlines Inc.",14679,1467903,33570,"SAN","San Diego, CA","CA",12478,1247803,31703,"JFK","New York, NY","NY",2016,4,
4231.00,1912.00,"WN",19393,"Southwest Airlines Co.",10792,1079204,30792,"BUF","Buffalo, NY","NY",14107,1410702,30466,"PHX","Phoenix, AZ","AZ",2016,8,
4231.00,738.00,"9E",20363,"Endeavor Air Inc.",13342,1334205,33342,"MKE","Milwaukee, WI","WI",12953,1295302,31703,"LGA","New York, NY","NY",2016,8,
4232.00,660.00,"S5",20448,"Shuttle America Corp.",12339,1233904,32337,"IND","Indianapolis, IN","IN",12953,1295302,31703,"LGA","New York, NY","NY",2016,10,
4232.00,2465.00,"B6",20409,"JetBlue Airways",10800,1080003,32575,"BUR","Burbank, CA","CA",12478,1247803,31703,"JFK","New York, NY","NY",2016,6,
4232.00,1626.00,"B6",20409,"JetBlue Airways",11292,1129202,30325,"DEN","Denver, CO","CO",12478,1247803,31703,"JFK","New York, NY","NY",2016,11,
4235.00,950.00,"AA",19805,"American Airlines Inc.",13204,1320402,31454,"MCO","Orlando, FL","FL",12953,1295302,31703,"LGA","New York, NY","NY",2016,4,
4236.00,2446.00,"AA",19805,"American Airlines Inc.",12478,1247803,31703,"JFK","New York, NY","NY",14679,1467903,33570,"SAN","San Diego, CA","CA",2016,2,
4236.00,660.00,"WN",19393,"Southwest Airlines Co.",12953,1295302,31703,"LGA","New York, NY","NY",12339,1233904,32337,"IND","Indianapolis, IN","IN",2016,3,
4238.00,1021.00,"NK",20416,"Spirit Air Lines",12265,1226503,32265,"IAG","Niagara Falls, NY","NY",13204,1320402,31454,"MCO","Orlando, FL","FL",2016,12,
4239.00,2422.00,"AA",19805,"American Airlines Inc.",14747,1474703,30559,"SEA","Seattle, WA","WA",12478,1247803,31703,"JFK","New York, NY","NY",2016,3,
4239.00,1130.00,"WN",19393,"Southwest Airlines Co.",15304,1530402,33195,"TPA","Tampa, FL","FL",10257,1025702,30257,"ALB","Albany, NY","NY",2016,5,
4239.00,607.00,"OO",20304,"SkyWest Airlines Inc.",15096,1509602,35096,"SYR","Syracuse, NY","NY",13930,1393004,30977,"ORD","Chicago, IL","IL",2016,11,
4240.00,427.00,"YX",20452,"Republic Airlines",14492,1449202,34492,"RDU","Raleigh/Durham, NC","NC",12478,1247803,31703,"JFK","New York, NY","NY",2016,5,
4240.00,184.00,"S5",20448,"Shuttle America Corp.",10721,1072102,30721,"BOS","Boston, MA","MA",12953,1295302,31703,"LGA","New York, NY","NY",2016,2,
4240.00,1011.00,"B6",20409,"JetBlue Airways",10792,1079204,30792,"BUF","Buffalo, NY","NY",13204,1320402,31454,"MCO","Orlando, FL","FL",2016,7,
4241.00,1576.00,"B6",20409,"JetBlue Airways",10732,1073203,30732,"BQN","Aguadilla, PR","PR",12478,1247803,31703,"JFK","New York, NY","NY",2016,3,
4242.00,209.00,"9E",20363,"Endeavor Air Inc.",12478,1247803,31703,"JFK","New York, NY","NY",15096,1509602,35096,"SYR","Syracuse, NY","NY",2016,11,
4242.00,335.00,"G7",20500,"GoJet Airlines LLC d/b/a United Express",12953,1295302,31703,"LGA","New York, NY","NY",14122,1412202,30198,"PIT","Pittsburgh, PA","PA",2016,4,
4244.00,660.00,"WN",19393,"Southwest Airlines Co.",12339,1233904,32337,"IND","Indianapolis, IN","IN",12953,1295302,31703,"LGA","New York, NY","NY",2016,4,
4245.00,479.00,"YX",20452,"Republic Airlines",12953,1295302,31703,"LGA","New York, NY","NY",11066,1106603,31066,"CMH","Columbus, OH","OH",2016,10,
4245.00,860.00,"DL",19790,"Delta Air Lines Inc.",15096,1509602,35096,"SYR","Syracuse, NY","NY",13487,1348702,31650,"MSP","Minneapolis, MN","MN",2016,8,
4246.00,209.00,"9E",20363,"Endeavor Air Inc.",15096,1509602,35096,"SYR","Syracuse, NY","NY",12478,1247803,31703,"JFK","New York, NY","NY",2016,9,
4248.00,2217.00,"B6",20409,"JetBlue Airways",12892,1289204,32575,"LAX","Los Angeles, CA","CA",10792,1079204,30792,"BUF","Buffalo, NY","NY",2016,7,
4248.00,1020.00,"YX",20452,"Republic Airlines",12953,1295302,31703,"LGA","New York, NY","NY",13487,1348702,31650,"MSP","Minneapolis, MN","MN",2016,8,
